# Diabatic Hamiltonian H_diab (eV)
# H_diab = U_orth @ diag(E_tgt) @ U_orth.T
# Rows and columns: reference (diabatic) state index m (0-based)
# n_roots=16  n_occ=12  n_virt=80  n_frz=4
      9.0405143920        0.0769966534       -0.0000739472        0.0000289129       -0.0006550976       -0.0002845948        0.0000383815       -0.0000802465       -0.0745798705       -0.0875362525        0.1325436006       -0.0409940823        0.0608251898        0.2668457867       -0.0005625305        0.0025679501
      0.0769966534        8.8868972573        0.0006519537       -0.0006242400        0.0060284116        0.0028138635       -0.0003842065        0.0008182000       -0.8329350810        0.2200234643       -0.6154950452       -0.0543826109       -0.4914440061       -0.5010327282       -0.0033257409       -0.0048774148
     -0.0000739472        0.0006519537       10.3060143384        0.7559805948        0.0001427338        0.0001827278        0.0453272663       -0.0886746742       -0.0000062578        0.0000726430       -0.0001752596        0.0000841223       -0.0017051915        0.0008268769        0.2078546456        0.0158427114
      0.0000289129       -0.0006242400        0.7559805948        9.0910957462       -0.0047340211       -0.0023205628       -0.2008160755        0.1985456344       -0.0001077342       -0.0000800878        0.0001878015       -0.0001432836        0.0016236809       -0.0008384685       -0.2080898513       -0.0109749850
     -0.0006550976        0.0060284116        0.0001427338       -0.0047340211        9.9098491343       -0.3208181376        0.0020968138        0.0026476953        0.0005808053        0.0006874423       -0.0014333185        0.0009643427       -0.0027984919       -0.0056795433       -0.0250315874        0.5555608173
     -0.0002845948        0.0028138635        0.0001827278       -0.0023205628       -0.3208181376        9.4631694511        0.0009479466        0.0013306499        0.0003084585        0.0003223943       -0.0006822519        0.0004737122       -0.0012744666       -0.0026658235       -0.0119882185        0.2606775672
      0.0000383815       -0.0003842065        0.0453272663       -0.2008160755        0.0020968138        0.0009479466        9.7728509916       -0.5227413063        0.0000219576       -0.0000539778        0.0001175028       -0.0000494964        0.0009955495       -0.0004161611       -0.1138364828       -0.0064358850
     -0.0000802465        0.0008182000       -0.0886746742        0.1985456344        0.0026476953        0.0013306499       -0.5227413063        9.5098430555        0.0000298964        0.0000812539       -0.0001999736        0.0001097314       -0.0021253477        0.0010125124        0.2577478188        0.0139963882
     -0.0745798705       -0.8329350810       -0.0000062578       -0.0001077342        0.0005808053        0.0003084585        0.0000219576        0.0000298964        8.4923714825        0.0856416407       -0.4592891510       -0.1240046483       -0.3104375055       -0.1598394668        0.0000973575        0.0054667543
     -0.0875362525        0.2200234643        0.0000726430       -0.0000800878        0.0006874423        0.0003223943       -0.0000539778        0.0000812539        0.0856416407        9.4204520437        0.4387512241       -0.2599328789       -0.1293823199        0.2128288204       -0.0024489767        0.0001783936
      0.1325436006       -0.6154950452       -0.0001752596        0.0001878015       -0.0014333185       -0.0006822519        0.0001175028       -0.0001999736       -0.4592891510        0.4387512241        8.3981339806        0.3284466233        0.0486749410       -0.5261565494        0.0039777276       -0.0008990275
     -0.0409940823       -0.0543826109        0.0000841223       -0.0001432836        0.0009643427        0.0004737122       -0.0000494964        0.0001097314       -0.1240046483       -0.2599328789        0.3284466233        9.2207959842       -0.2154946559        0.2459865298       -0.0025774580        0.0031773809
      0.0608251898       -0.4914440061       -0.0017051915        0.0016236809       -0.0027984919       -0.0012744666        0.0009955495       -0.0021253477       -0.3104375055       -0.1293823199        0.0486749410       -0.2154946559        9.4268792770       -0.0047598578        0.0079389068        0.0077466783
      0.2668457867       -0.5010327282        0.0008268769       -0.0008384685       -0.0056795433       -0.0026658235       -0.0004161611        0.0010125124       -0.1598394668        0.2128288204       -0.5261565494        0.2459865298       -0.0047598578        9.1976360738       -0.0011111249        0.0034811361
     -0.0005625305       -0.0033257409        0.2078546456       -0.2080898513       -0.0250315874       -0.0119882185       -0.1138364828        0.2577478188        0.0000973575       -0.0024489767        0.0039777276       -0.0025774580        0.0079389068       -0.0011111249        8.6707861388       -0.0277596394
      0.0025679501       -0.0048774148        0.0158427114       -0.0109749850        0.5555608173        0.2606775672       -0.0064358850        0.0139963882        0.0054667543        0.0001783936       -0.0008990275        0.0031773809        0.0077466783        0.0034811361       -0.0277596394        9.2257530480
